分类: 📺央视频道, 名称: CCTV1, 有效: 12, IPv4: 216, IPv6: 0, 最小延迟: 11 ms, 最高速率: 4.36 M/s, 平均速率: 2.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.56, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV2, 有效: 11, IPv4: 168, IPv6: 0, 最小延迟: 45 ms, 最高速率: 6.53 M/s, 平均速率: 2.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.84, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV3, 有效: 9, IPv4: 176, IPv6: 0, 最小延迟: 10 ms, 最高速率: 2.75 M/s, 平均速率: 1.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.86, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV4, 有效: 15, IPv4: 217, IPv6: 0, 最小延迟: 11 ms, 最高速率: 4.85 M/s, 平均速率: 1.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.21, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV5, 有效: 7, IPv4: 189, IPv6: 0, 最小延迟: 42 ms, 最高速率: 2.83 M/s, 平均速率: 0.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.68, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV6, 有效: 12, IPv4: 176, IPv6: 0, 最小延迟: 45 ms, 最高速率: 13.77 M/s, 平均速率: 6.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.62, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV7, 有效: 10, IPv4: 172, IPv6: 0, 最小延迟: 44 ms, 最高速率: 2.74 M/s, 平均速率: 1.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV8, 有效: 13, IPv4: 171, IPv6: 0, 最小延迟: 43 ms, 最高速率: 5.59 M/s, 平均速率: 2.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.46, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV9, 有效: 9, IPv4: 174, IPv6: 0, 最小延迟: 46 ms, 最高速率: 4.27 M/s, 平均速率: 1.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV10, 有效: 11, IPv4: 174, IPv6: 0, 最小延迟: 45 ms, 最高速率: 4.07 M/s, 平均速率: 1.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.75, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV11, 有效: 11, IPv4: 160, IPv6: 0, 最小延迟: 49 ms, 最高速率: 4.28 M/s, 平均速率: 1.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
